id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,country,language,director,votes,reviews_from_critics,popularity,genre_1,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0783532,0.73303187,12.69338,20.456408,-2.5175602,9.45225,1.4336636,South Africa,"English, Afrikaans",Ralph Ziman,7.05,30.0,2.738852,Action,,,,,,
tt0120723,2.5874228,11.675581,18.998354,-5.6184025,12.463031,4.410024,USA,English,Doug Ellin,5.75,31.0,9.275956,Comedy,tt0098645,tt0387514,,,,
tt0253556,2.980217,13.619538,19.010971,0.50553215,9.343386,2.9887705,"USA, UK, Ireland",English,Rob Bowman,6.1,152.0,13.067306,Action,tt0120657,tt0296572,tt0119665,tt0298408,,
tt0069404,2.5874484,9.998977,18.060637,-4.5625677,13.035445,0.5203714,USA,"English, French, Italian",George Cukor,6.4,14.0,4.884367,Adventure,,,,,,
tt0168501,0.80721754,12.723777,20.649435,-5.3269005,13.004776,3.0373726,USA,English,Malcolm D. Lee,6.8,31.0,5.055141000000001,Comedy,tt0110186,tt0114885,,,,
tt0101578,2.4382482,14.039034,18.143478,-2.5855253,8.671507,3.785084,USA,English,James F. Collier,6.2,3.0,0.150438,Biography,,,,,,
tt0048535,4.212541,9.479304,21.768736,-0.9661311,9.866904,4.316384,USA,English,Tim Whelan,6.65,8.0,0.398755,Action,tt0048289,,,,,
tt0453467,4.1253715,12.774755,20.069548,0.090753786,9.118833,1.4092306,"USA, UK",English,Tony Scott,6.8,209.0,14.922904,Action,,,,,,
tt0093502,1.303343,13.618077,20.57935,-4.0483565,8.11303,3.5444806,Japan,Japanese,Jûzô Itami,6.5,7.0,0.757468,Comedy,,,,,,
tt0474642,1.3332932,11.298728,20.549948,-4.6496034,12.853874,2.545254,"Chile, Germany",Spanish,Matías Bize,5.65,29.0,1.029472,Drama,tt0254455,,,,,
tt0072271,4.7191257,9.418072,20.637903,-2.8344686,10.621403,-0.45959184,USA,English,Tobe Hooper,7.3,256.0,15.526413,Horror,tt0083907,tt0092991,,,,
tt0053183,2.8174548,10.76358,18.112938,-0.7931569,8.6490345,3.2537487,USA,English,Lewis Milestone,6.75,29.0,2.522122,Action,tt0047376,,,,,
tt0018066,3.2116902,12.445805,18.358723,-2.7014616,9.720459,4.7318068,Soviet Union,Russian,"Vsevolod Pudovkin, Mikhail Doller",7.3,13.0,0.378451,Drama,tt0021571,,,,,
tt0096163,1.8410819,12.346708,18.348753,-5.5651774,12.455305,1.0160156,"Netherlands, France, West Germany","Dutch, French, English",George Sluizer,7.550000000000001,102.0,11.096035,Mystery,tt0286751,,,,,
tt0035749,3.0914562,9.532983,17.823284,-4.9359703,12.946278,4.29981,USA,English,Walter Lang,3.2,9.0,0.003053,Comedy,tt0036349,,,,,
tt0068327,3.1428535,11.426842,19.517246,-3.4826527,12.982015,2.2323887,USA,"English, German, Hebrew, French",Bob Fosse,7.6,101.0,10.82887,Drama,tt0071746,,,,,
tt0095145,3.6561837,12.501723,19.184858,-5.626027,12.085371,2.6081583,USA,English,Daniel Goldberg,5.6,6.0,3.139282,Comedy,tt0097366,tt0092214,,,,
tt0098165,0.5833725,11.29077,19.825745,-4.228024,12.0602455,3.7843983,UK,English,Ken Russell,6.25,21.0,0.726268,Action,tt0076868,tt0095488,,,,
tt0119809,3.225357,13.395752,19.599232,-3.0287828,10.144585,4.7071557,"USA, France",English,Gregg Araki,6.4,36.0,3.324489,Comedy,tt0112887,tt0127296,tt0370986,tt0780608,,
tt0095662,4.336477,11.057136,19.390789,-4.567565,12.024386,2.906873,USA,English,Alan Metter,5.9,8.0,2.466853,Comedy,tt0082121,tt0076106,tt0081562,,,
tt0423176,2.1562011,14.403533,18.895088,-0.41729552,8.667169,3.2341833,"China, Japan, France","Mandarin, Russian, English",Zhangke Jia,7.199999999999999,65.0,0.80315,Drama,,,,,,
tt0330843,2.9952157,15.329861,20.528399,-5.528948,12.112019,4.6365056,India,Hindi,Shaad Ali,6.25,14.0,1.492941,Drama,tt0986213,,,,,
tt0089565,1.5010089,10.861985,18.892576,-5.2665257,11.196379,3.8411467,USA,English,Curtis Harrington,3.6,9.0,0.8461700000000001,Drama,tt0071464,,,,,
tt0095016,3.8531077,12.7403,22.089973,-1.0672588,10.84138,0.11834361,USA,"English, German, Italian, Japanese",John McTiernan,7.85,295.0,16.640522,Action,,,,,,
tt0210302,5.6837153,10.364081,20.379356,-4.416127,8.252965,3.5645034,Japan,Japanese,Shin'ya Tsukamoto,6.65,21.0,2.108623,Drama,,,,,,
tt0079822,2.9151626,9.682144,19.72429,-2.3976674,11.5971985,1.2647711,USA,English,Mark L. Lester,4.8,37.0,1.851179,Drama,tt0012190,tt0082511,tt0088207,tt0047191,,
tt0048954,0.43922496,11.394451,18.547316,-4.3312364,12.468551,3.5417001,USA,English,Robert Lewis,6.85,9.0,0.228249,Musical,tt0047688,tt0038116,tt0120321,,,
tt0411117,2.174914,11.07206,20.291656,-4.7127233,13.134754,3.3579502,"France, Germany, UK",French,Diane Bertrand,5.95,8.0,2.469114,Drama,,,,,,
tt0031235,4.173443,10.624749,20.70352,-1.0511249,10.235154,1.8119904,USA,English,Michael Curtiz,6.9,43.0,2.53549,Action,tt0040076,,,,,
tt0772200,-0.14427117,10.879555,19.970568,-3.6789737,12.81093,0.80893016,USA,English,Robert Cary,5.9,18.0,1.4001,Drama,,,,,,
tt0325596,2.347355,12.215412,21.532053,-1.8040951,11.543443,1.1633358,"UK, USA",English,Roland Suso Richter,5.949999999999999,34.0,3.561706,Mystery,,,,,,
tt0292490,2.991666,15.325161,20.02671,-5.6959953,13.638661,0.547011,India,Hindi,Farhan Akhtar,7.6,31.0,4.558793,Comedy,tt0374887,tt0347304,,,,
tt0104431,5.125089,11.733448,22.190376,-1.0971828,11.221066,2.0400293,USA,"English, French",Chris Columbus,6.55,62.0,13.293722,Adventure,,,,,,
tt0209368,2.1502585,10.545018,19.72693,-5.4552703,12.821629,3.8841574,Australia,English,Emma-Kate Croghan,5.85,6.0,0.7896810000000001,Comedy,,,,,,
tt0079714,5.874933,10.428685,20.035252,-2.0221045,9.147875,1.4594324,USA,English,Don Coscarelli,6.65,228.0,6.609336,Horror,tt0138703,tt0095583,tt0083624,,,
tt0090186,4.6557417,9.687588,22.616667,-1.4827116,11.418152,0.7218708,USA,English,Tony Lo Bianco,5.8,9.0,0.332156,Crime,,,,,,
tt0205461,4.7782145,12.499,17.905964,-3.2242694,9.477682,1.7471275,"UK, USA, Isle Of Man",English,Britt Allcroft,4.449999999999999,41.0,1.046659,Adventure,,,,,,
tt0039204,4.1222615,10.166396,18.92494,-2.7865877,12.85633,3.6367865,USA,English,Robert Rossen,6.949999999999999,35.0,1.990877,Drama,tt0043625,,,,,
tt0244094,0.8204603,11.436349,20.047682,-5.8116374,13.731956,0.588226,USA,English,Eric Schaeffer,5.15,26.0,0.807369,Comedy,tt0120813,,,,,
tt0044209,4.4787045,10.606828,18.114582,-4.3849897,11.463436,-0.6184486,USA,English,William Cameron Menzies,5.95,14.0,0.48243,Action,tt0043643,tt0050271,,,,
tt0053106,1.2502826,11.30306,19.657763,-0.6452715,9.471818,0.7372304,Soviet Union,Russian,Mikhail Kalatozov,7.7,43.0,1.451473,Adventure,tt0052600,,,,,
tt0190798,1.4277496,11.634001,20.92769,-4.052146,12.024764,2.943054,"Spain, Canada",Spanish,Benito Zambrano,7.15,31.0,0.454971,Drama,,,,,,
